,company,href,salary,text_requirement,text_responsibility,title
145,GS GROUP,https://spb.hh.ru/vacancy/31937686?query=Python,unknown,GitLab. Bash.,Поддержка и развитие текущей инфраструктуры CI/CD (Jenkins). Поддержка и развитие инфраструктуры разработки и тестирования (Jenkins).,Junior DevOps
146,DataArt,https://spb.hh.ru/vacancy/31918395?query=Python,unknown,"Опыт программирования на Python не менее 3-х лет. Опыт и желание лидирования разработки в распределенных командах. Знание Django, Flask. ","Планируется расширение команды и рост проектов компании. На очереди разработка инструментов процессинга новых исполнителей и треков, управление лицензиями и правами...",Senior Python/Team Lead Developer (Global Recorded Music Company)
147,Транзас,https://spb.hh.ru/vacancy/31207559?query=Python,от 200 000 руб.,"Знание С++ (Standard library, POSIX, C++11). Многопоточность (или POSIX thread, или std::thread, или NSThread/GCD), управление памятью (указатели...","Они используются как яхтсменами (iSailor), так и на больших судах, интегрируясь с другими бортовыми решениями компании. Необходимо: Bash, python для...",Senior software developer C++ (iOS/Android)
148,АО ИЦ Буревестник,https://spb.hh.ru/vacancy/31776852?query=Python,unknown,Знание ОС Linux на уровне опытного пользователя. - Умение корректировать bash или python скрипты. - Базовые знания сетевых технологий. - Навыки работы с...,"Разработка методик тестировании. - Построение плана тестирования, чек-листа (checklist) и согласование его с разработчиками. - Составление сценариев тестирования, тест-кейсов (test...",Тестировщик программного обеспечения 1 категории
149,Antal Russia,https://spb.hh.ru/vacancy/32283376?query=Python,unknown,Experience designing and tuning business intelligence systems. Python/Scala development experience. A background in machine learning and data mining infrastructure...,Designing and developing a distributed data processing system build upon AWS infrastructure. Analyzing performance and scaling existing systems in response...,Data Engineer
150,Университет ИТМО,https://spb.hh.ru/vacancy/31291171?query=Python,unknown,"Практический опыт работы с гибридными серверами. Навыки программирования на одном из языков: C, C++, C#, Python, Java. Наличие сертификатов Linux...",Обеспечение работоспособности вычислительной инфраструктуры в режиме 24/7. Установка и обслуживание операционных систем семейства Unix (Linux) и Windows. ,Системный администратор
151,ООО СТАРТАП АКАДЕМИЯ,https://spb.hh.ru/vacancy/32112044?query=Python,unknown,"Будет плюсом: ‣ Широкий кругозор в индустрии и знание актуальных трендов в теории и инструментах ML: классические методы, нейронные сети, Python...","Взять на себя ключевую роль в проектировании, разработке архитектуры и инфраструктуры продукта. ‣ Писать чистый и понятный код. ‣ Контролировать и поддерживать...",Senior Developer / Lead Developer (GameDev)
152,WorldQuant,https://spb.hh.ru/vacancy/29958068?query=Python,unknown,Solid programming skills (C++ and/or Python). Good knowledge of English (both oral and written). Strong work ethic. ,"Competitive financial rewards, based on performance and position. Job Responsibilities (including, but not limited to, the following): Building algorithmic, computer...",Quantitative Researcher
153,АКМЭ сервис,https://spb.hh.ru/vacancy/31936662?query=Python,от 70 000 руб.,Опыт работы от 2х лет. Уверенное владение Python\Django. Опыт написания клиент-серверных приложений. Понимание основных структур данных и...,Разработка и поддержка программных продуктов компании. Участвовать во всём процессе разработки - от проектирования до запуска. Оптимизировать работу приложения.,Python-разработчик
154,КОМПЛИТ,https://spb.hh.ru/vacancy/32130783?query=Python,unknown,"Владели инструментами разработки – С/С++ и/или python, PL/SQL (для простого анализа данных как минимум). Имели опыт выполнения завершенных...","Разработка архитектуры платформы IIoT и ее адаптации под различные бизнес-требования. Непосредственное взаимодействие с заказчиками, анализ и формализация бизнес-требований...",Ведущий разработчик / системный архитектор платформы Industrial IoT
