,company,href,salary,text_requirement,text_responsibility,title
0,DINO Systems,https://spb.hh.ru/vacancy/31207271?query=Python,unknown,"...SIP, SDP, MSML, RTP, RTCP XR). Опыт разработки высоконагруженных и отказоустойчивых серверов. Опыт разработки на скриптовых языках Python, Javascript, etc.","Руководство группой разработчиков. Поддержка внутренних регламентов и процессов разработки ПО. Планирование задач. Сбор требований, подготовка функциональной и технической спецификаций. ",Lead C++ Developer / Team Leader
1,DINO Systems,https://spb.hh.ru/vacancy/31203250?query=Python,unknown,"Владения хотя бы одним языком программирования (лучше всего Python или Java, но и любой другой пригодится). Понимания функционирования веб и...",,Senior Performance Engineer
